# Targets of the function-pointer dispatch sites on the x86_64 interrupt path.
#
# The walker follows direct call edges only, so without this file it stops at
# the first `call *%rax` and reports the receive path as 8 bytes deep. Every
# hardware interrupt handler here is reached through a registered `fn` pointer:
# the MSI vector table, the x86 line-handler table, the nine softirq slots, the
# tick-poll hook and the exit-to-user hook. Each has a handful of registration
# sites, all in this tree, so the target sets are finite and nameable.
#
# Format: `<caller>\t<callee>`, demangled identities, caller repeated per
# target. An entry that no longer resolves FAILS the gate — a map that has
# drifted silently restores the blindness it exists to remove.
oxide_irq_dispatch	drv_ps2_keyboard::imp::irq::irq1_handler
oxide_irq_dispatch	drv_uart_16550::imp::rx_isr_msi
oxide_irq_dispatch	drv_virtio_net::modern::rx::raise_rx
oxide_irq_dispatch	drv_virtio_blk::modern::state::wake_completions
oxide_irq_dispatch	drv_virtio_snd::event::raise_event
oxide_irq_dispatch	drv_virtio_vsock::registry::raise_rx
oxide_irq_dispatch	drv_virtio_input::drain::queue::raise_drain
oxide_irq_dispatch	drv_ahci::irq::hard_handler
oxide_irq_dispatch	modules::linux_irq::linux_irq_dispatch
oxide_irq_dispatch	kmain::kmain::hooks::tick_poll_combined
softirq::run_pending_mode	fbcon::kernel::shared::flush_softirq
softirq::run_pending_mode	drv_virtio_input::drain::queue::drain_softirq
softirq::run_pending_mode	net::backlog::action::net_rx_action
softirq::run_pending_mode	drv_virtio_vsock::registry::rx_drain_softirq
softirq::run_pending_mode	drv_virtio_snd::event::event_softirq
softirq::run_pending_mode	net::net_ns::teardown::wake_namespace_reaper
softirq::run_pending_mode	block::completion::dispatch
softirq::run_pending_mode	net::stack::stp_softirq::stp_softirq
softirq::run_pending_mode	sched::live::tasklet::drain_softirq
oxide_irq_exit_to_user	syscalls::exit_to_user::irqentry_exit
drv_serial::deliver	sched::diag::emit::sysrq_rx
drv_serial::deliver	console::static_console::rx_byte
# NAPI poll list, one level BELOW the softirq table: `net_rx_action` walks the
# registered poll functions (`net::backlog::register_poll`). `poll_all` is
# inlined into it, so the edge is attributed to `net_rx_action` itself. Missing
# this edge understated the interrupt domain by the whole receive path.
net::backlog::action::net_rx_action	drv_virtio_net::modern::rx::rx_drain_softirq
